MSA,Year,Percent With A Disability
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2021,12.8
"Phoenix-Mesa-Chandler, AZ ",2021,12.4
"Pittsburgh, PA ",2021,14.2
"Portland-South Portland, ME ",2021,12.6
"Portland-Vancouver-Hillsboro, OR-WA ",2021,13
"Providence-Warwick, RI-MA ",2021,13.9
"Raleigh-Cary, NC ",2021,10.5
"Richmond, VA ",2021,13.4
"Riverside-San Bernardino-Ontario, CA ",2021,11.6
"Sacramento-Roseville-Folsom, CA ",2021,11.8
"St. Louis, MO-IL ",2021,13.5
"Salt Lake City, UT ",2021,10.3
"San Antonio-New Braunfels, TX ",2021,15.1
"San Diego-Chula Vista-Carlsbad, CA ",2021,10.5
"San Francisco-Oakland-Berkeley, CA ",2021,10.6
"San Jose-Sunnyvale-Santa Clara, CA ",2021,9.1
"Seattle-Tacoma-Bellevue, WA ",2021,11
"Tampa-St. Petersburg-Clearwater, FL ",2021,14.1
"Virginia Beach-Norfolk-Newport News, VA-NC ",2021,13.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2021,9.3
"Atlanta-Sandy Springs-Alpharetta, GA ",2022,11.1
"Augusta-Richmond County, GA-SC ",2022,16.3
"Austin-Round Rock-Georgetown, TX ",2022,10.8
"Baltimore-Columbia-Towson, MD ",2022,12.6
"Birmingham-Hoover, AL ",2022,14.9
"Boston-Cambridge-Newton, MA-NH ",2022,11.3
"Buffalo-Cheektowaga, NY ",2022,13.7
"Charlotte-Concord-Gastonia, NC-SC ",2022,10.7
"Charlottesville, VA ",2022,10.2
"Chicago-Naperville-Elgin, IL-IN-WI ",2022,11.1
"Cincinnati, OH-KY-IN ",2022,13.3
"Cleveland, TN ",2022,17.6
"Cleveland-Elyria, OH ",2022,14.9
"Columbus, GA-AL ",2022,18.3
"Columbus, IN ",2022,15.7
"Columbus, OH ",2022,12.5
"Dallas-Fort Worth-Arlington, TX ",2022,10.4
"Denver-Aurora-Lakewood, CO ",2022,11.1
"Detroit-Warren-Dearborn, MI ",2022,14
"Fresno, CA ",2022,14.1
"Houston-The Woodlands-Sugar Land, TX ",2022,10.9
"Indianapolis-Carmel-Anderson, IN ",2022,13
"Jacksonville, FL ",2022,13.3
"Jacksonville, NC ",2022,15.1
"Kansas City, MO-KS ",2022,12.5
"Las Vegas-Henderson-Paradise, NV ",2022,13.9
"Los Angeles-Long Beach-Anaheim, CA ",2022,11.1
"Louisville/Jefferson County, KY-IN ",2022,14.1
"Memphis, TN-MS-AR ",2022,14.3
"Miami-Fort Lauderdale-Pompano Beach, FL ",2022,11.3
"Milwaukee-Waukesha, WI ",2022,12
"Minneapolis-St. Paul-Bloomington, MN-WI ",2022,10.5
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2022,11.7
"New York-Newark-Jersey City, NY-NJ-PA ",2022,11.4
"Oklahoma City, OK ",2022,15.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2022,13.7
"Phoenix-Mesa-Chandler, AZ ",2022,12.5
"Pittsburgh, PA ",2022,15.2
"Portland-South Portland, ME ",2022,13
"Portland-Vancouver-Hillsboro, OR-WA ",2022,13.5
"Providence-Warwick, RI-MA ",2022,13.7
"Raleigh-Cary, NC ",2022,10.2
"Richmond, VA ",2022,12.7
"Riverside-San Bernardino-Ontario, CA ",2022,11.8
"Sacramento-Roseville-Folsom, CA ",2022,12.9
"St. Louis, MO-IL ",2022,14
"Salt Lake City, UT ",2022,10.9
"San Antonio-New Braunfels, TX ",2022,14.8
"San Diego-Chula Vista-Carlsbad, CA ",2022,11.3
"San Francisco-Oakland-Berkeley, CA ",2022,11
"San Jose-Sunnyvale-Santa Clara, CA ",2022,9.3
"Seattle-Tacoma-Bellevue, WA ",2022,11.8
"Tampa-St. Petersburg-Clearwater, FL ",2022,14.5
"Virginia Beach-Norfolk-Newport News, VA-NC ",2022,14.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2022,9.5
