MSA,Year,Uninsured Population,Total Population,Ratio of Uninsured,Percentage of Uninsured
"Milwaukee-Waukesha-West Allis, WI ",2011,149818,1548112,0.096774652,9.677465196
"Minneapolis-St. Paul-Bloomington, MN-WI ",2011,292202,3290949,0.088789586,8.878958623
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2011,229705,1602115,0.1433761,14.33760997
"New York-Northern New Jersey-Long Island, NY-NJ-PA ",2011,2497195,18847225,0.132496694,13.24966938
"Oklahoma City, OK ",2011,226154,1258832,0.179653838,17.96538378
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2011,594873,5914484,0.100579019,10.05790192
"Phoenix-Mesa-Glendale, AZ ",2011,741273,4209141,0.17611028,17.611028
"Pittsburgh, PA ",2011,195014,2331858,0.083630307,8.363030682
"Portland-Vancouver-Hillsboro, OR-WA ",2011,324241,2247223,0.144285191,14.42851911
"Providence-New Bedford-Fall River, RI-MA ",2011,136254,1576319,0.086438088,8.643808772
"Raleigh-Cary, NC ",2011,165707,1152684,0.143757526,14.37575259
"Richmond, VA ",2011,152026,1244627,0.122145832,12.21458316
"Riverside-San Bernardino-Ontario, CA ",2011,866177,4242133,0.20418431,20.41843101
"Sacramento--Arden-Arcade--Roseville, CA ",2011,281853,2153236,0.130897403,13.08974028
"St. Louis, MO-IL ",2011,309076,2779468,0.111199697,11.11996972
"Salt Lake City, UT ",2011,180952,1136404,0.159232104,15.92321041
"San Antonio-New Braunfels, TX ",2011,427832,2149071,0.199077648,19.9077648
"San Diego-Carlsbad-San Marcos, CA ",2011,528808,3040979,0.173893999,17.38939993
"San Francisco-Oakland-Fremont, CA ",2011,518210,4357723,0.118917609,11.8917609
"San Jose-Sunnyvale-Santa Clara, CA ",2011,216983,1855577,0.116935595,11.69355947
"Seattle-Tacoma-Bellevue, WA ",2011,446064,3451113,0.129252215,12.92522152
"Tampa-St. Petersburg-Clearwater, FL ",2011,506747,2793949,0.181373032,18.13730315
"Virginia Beach-Norfolk-Newport News, VA-NC ",2011,194199,1594527,0.121790976,12.17909763
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2011,651948,5631112,0.115776067,11.5776067
"Atlanta-Sandy Springs-Marietta, GA ",2012,992026,5395018,0.183878163,18.38781631
"Augusta-Richmond County, GA-SC ",2012,89437,550508,0.162462671,16.24626708
"Austin-Round Rock-San Marcos, TX ",2012,326356,1817120,0.179600687,17.96006868
"Baltimore-Towson, MD ",2012,235171,2705863,0.086911643,8.691164335
"Birmingham-Hoover, AL ",2012,136880,1122390,0.121954044,12.19540445
"Boston-Cambridge-Quincy, MA-NH ",2012,195294,4589436,0.042552941,4.255294115
"Buffalo-Niagara Falls, NY ",2012,70027,1120067,0.062520367,6.252036709
"Charlotte-Gastonia-Rock Hill, NC-SC ",2012,294122,1817050,0.161867863,16.18678627
"Chicago-Joliet-Naperville, IL-IN-WI ",2012,1315924,9441923,0.139370338,13.9370338
"Cincinnati-Middletown, OH-KY-IN ",2012,224128,2124889,0.10547751,10.54775096
"Cleveland-Elyria-Mentor, OH ",2012,216027,2035897,0.106109003,10.61090026
"Columbus, OH ",2012,218682,1854171,0.117940578,11.79405783
"Dallas-Fort Worth-Arlington, TX ",2012,1465748,6593718,0.222294614,22.22946144
"Denver-Aurora-Broomfield, CO ",2012,388577,2621406,0.148232285,14.82322845
"Detroit-Warren-Livonia, MI ",2012,515882,4264105,0.12098248,12.09824805
"Fresno, CA ",2012,193924,936354,0.207105432,20.71054323
"Houston-Sugar Land-Baytown, TX ",2012,1439229,6156197,0.233785404,23.37854036
"Indianapolis-Carmel, IN ",2012,240329,1776871,0.135254051,13.52540505
"Jacksonville, FL ",2012,214889,1353764,0.158734462,15.87344618
"Kansas City, MO-KS ",2012,258310,2038190,0.126734995,12.67349953
"Las Vegas-Paradise, NV ",2012,452228,1977785,0.228653772,22.86537718
