MSA,Year,Uninsured Population,Total Population,Ratio of Uninsured,Percentage of Uninsured
"Sacramento--Roseville--Arden-Arcade, CA ",2016,106871,2277143,0.046932055,4.693205477
"St. Louis, MO-IL ",2016,175607,2771829,0.063354197,6.335419681
"Salt Lake City, UT ",2016,119319,1178160,0.101275718,10.12757181
"San Antonio-New Braunfels, TX ",2016,335504,2390556,0.140345593,14.03455932
"San Diego-Carlsbad, CA ",2016,241711,3220462,0.075054759,7.505475922
"San Francisco-Oakland-Hayward, CA ",2016,192713,4652127,0.041424707,4.142470745
"San Jose-Sunnyvale-Santa Clara, CA ",2016,83281,1969402,0.042287456,4.228745579
"Seattle-Tacoma-Bellevue, WA ",2016,199365,3755425,0.053087201,5.308720052
"Tampa-St. Petersburg-Clearwater, FL ",2016,352271,3004491,0.117248146,11.72481462
"Virginia Beach-Norfolk-Newport News, VA-NC ",2016,137418,1632431,0.084179975,8.417997453
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2016,467568,6059226,0.077166292,7.716629154
"Atlanta-Sandy Springs-Roswell, GA ",2017,758233,5836503,0.129912209,12.99122094
"Austin-Round Rock, TX ",2017,245991,2099268,0.117179417,11.71794168
"Baltimore-Columbia-Towson, MD ",2017,135979,2763287,0.049209148,4.920914838
"Birmingham-Hoover, AL ",2017,97341,1135202,0.085747735,8.574773476
"Boston-Cambridge-Newton, MA-NH ",2017,144080,4787907,0.030092481,3.009248091
"Charlotte-Concord-Gastonia, NC-SC ",2017,254657,2507990,0.101538284,10.15382836
"Chicago-Naperville-Elgin, IL-IN-WI ",2017,717302,9444080,0.075952554,7.59525544
"Cincinnati, OH-KY-IN ",2017,106813,2154978,0.049565703,4.956570322
"Cleveland-Elyria, OH ",2017,102839,2033307,0.050577212,5.057721239
"Columbus, OH ",2017,134971,2050819,0.065813219,6.581321901
"Dallas-Fort Worth-Arlington, TX ",2017,1209929,7348537,0.164648963,16.46489635
"Denver-Aurora-Lakewood, CO ",2017,207414,2864339,0.072412518,7.241251821
"Detroit-Warren-Dearborn, MI ",2017,214340,4283001,0.05004435,5.004434974
"Fresno, CA ",2017,74842,978243,0.076506553,7.650655308
"Houston-The Woodlands-Sugar Land, TX ",2017,1243056,6834365,0.181883174,18.18831742
"Indianapolis-Carmel-Anderson, IN ",2017,160628,2000487,0.080294448,8.02944483
"Jacksonville, FL ",2017,161646,1477578,0.109399301,10.93993007
"Kansas City, MO-KS ",2017,190306,2101986,0.090536283,9.053628331
"Las Vegas-Henderson-Paradise, NV ",2017,256898,2179495,0.117870424,11.78704241
"Los Angeles-Long Beach-Anaheim, CA ",2017,1141590,13271857,0.086015845,8.601584541
"Louisville/Jefferson County, KY-IN ",2017,68188,1275416,0.053463341,5.346334059
"Memphis, TN-MS-AR ",2017,130372,1328971,0.098099959,9.809995854
"Miami-Fort Lauderdale-West Palm Beach, FL ",2017,949794,6109474,0.155462483,15.54624833
"Milwaukee-Waukesha-West Allis, WI ",2017,86401,1563406,0.055264595,5.526459538
"Minneapolis-St. Paul-Bloomington, MN-WI ",2017,150879,3572153,0.042237553,4.223755253
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2017,179489,1886262,0.095155922,9.515592214
"New York-Newark-Jersey City, NY-NJ-PA ",2017,1404815,20139376,0.069754644,6.975464384
"Oklahoma City, OK ",2017,170080,1363480,0.124739637,12.47396368
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2017,311291,6018597,0.051721522,5.172152247
"Phoenix-Mesa-Scottsdale, AZ ",2017,478738,4681091,0.102270603,10.22706032
"Pittsburgh, PA ",2017,81770,2306289,0.035455227,3.545522699
"Portland-Vancouver-Hillsboro, OR-WA ",2017,150715,2436166,0.061865653,6.186565283
"Raleigh, NC ",2017,132346,1324388,0.09992993,9.99299299
"Richmond, VA ",2017,109293,1276602,0.08561243,8.56124305
"Riverside-San Bernardino-Ontario, CA ",2017,351398,4504272,0.078014383,7.801438279
"Sacramento--Roseville--Arden-Arcade, CA ",2017,114572,2306570,0.049672024,4.967202383
"St. Louis, MO-IL ",2017,175735,2771358,0.063411151,6.341115078
"Salt Lake City, UT ",2017,116386,1195074,0.097388112,9.738811153
"San Antonio-New Braunfels, TX ",2017,353687,2436298,0.145173948,14.51739483
"San Diego-Carlsbad, CA ",2017,249592,3239196,0.077053689,7.705368863
"San Francisco-Oakland-Hayward, CA ",2017,209695,4699519,0.044620524,4.462052393
"San Jose-Sunnyvale-Santa Clara, CA ",2017,82876,1988927,0.041668699,4.166869875
"Seattle-Tacoma-Bellevue, WA ",2017,214901,3822739,0.056216498,5.621649817
"Tampa-St. Petersburg-Clearwater, FL ",2017,371594,3060220,0.121427218,12.14272177
"Virginia Beach-Norfolk-Newport News, VA-NC ",2017,144757,1632867,0.088652046,8.865204576
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2017,465560,6141977,0.075799698,7.579969772
"Atlanta-Sandy Springs-Roswell, GA ",2018,780907,5904596,0.132254095,13.22540949
"Austin-Round Rock, TX ",2018,271445,2150961,0.126197081,12.61970812
"Baltimore-Columbia-Towson, MD ",2018,132188,2753141,0.048013523,4.801352346
"Birmingham-Hoover, AL ",2018,111546,1137304,0.098079317,9.80793174
"Boston-Cambridge-Newton, MA-NH ",2018,139528,4828239,0.028898321,2.88983209
"Charlotte-Concord-Gastonia, NC-SC ",2018,265963,2551649,0.104231812,10.42318124
"Chicago-Naperville-Elgin, IL-IN-WI ",2018,713711,9406512,0.075874139,7.587413911
"Cincinnati, OH-KY-IN ",2018,110985,2162574,0.051320787,5.132078717
"Cleveland-Elyria, OH ",2018,111810,2032245,0.055017973,5.501797273
"Columbus, OH ",2018,147268,2080065,0.070799711,7.079971059
"Dallas-Fort Worth-Arlington, TX ",2018,1280661,7490827,0.1709639,17.09639002
"Denver-Aurora-Lakewood, CO ",2018,207277,2907940,0.071279669,7.127966877
"Detroit-Warren-Dearborn, MI ",2018,230233,4297161,0.053577932,5.357793203
"Fresno, CA ",2018,73395,982821,0.074677891,7.46778915
"Houston-The Woodlands-Sugar Land, TX ",2018,1290120,6939766,0.185902522,18.59025218
"Indianapolis-Carmel-Anderson, IN ",2018,169627,2021966,0.083892113,8.389211292
"Jacksonville, FL ",2018,175220,1507734,0.116214133,11.62141333
"Kansas City, MO-KS ",2018,194062,2118268,0.091613526,9.161352577
"Las Vegas-Henderson-Paradise, NV ",2018,257571,2207851,0.116661405,11.66614051
"Los Angeles-Long Beach-Anaheim, CA ",2018,1128574,13203405,0.085475981,8.547598139
"Louisville/Jefferson County, KY-IN ",2018,69957,1280108,0.054649295,5.464929522
"Memphis, TN-MS-AR ",2018,159241,1332548,0.119501136,11.95011362
"Miami-Fort Lauderdale-West Palm Beach, FL ",2018,934823,6150372,0.151994546,15.1994546
"Milwaukee-Waukesha-West Allis, WI ",2018,85116,1562591,0.054471068,5.447106761
"Minneapolis-St. Paul-Bloomington, MN-WI ",2018,153192,3601564,0.042534854,4.25348543
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2018,185349,1913797,0.09684883,9.684882984
"New York-Newark-Jersey City, NY-NJ-PA ",2018,1321706,19801347,0.066748287,6.674828738
"Oklahoma City, OK ",2018,180462,1376236,0.131127219,13.11272195
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2018,321837,6016894,0.053488893,5.348889311
"Phoenix-Mesa-Scottsdale, AZ ",2018,511985,4800763,0.106646589,10.66465893
"Pittsburgh, PA ",2018,80200,2299766,0.034873113,3.487311318
"Portland-Vancouver-Hillsboro, OR-WA ",2018,155509,2463811,0.06311726,6.311726021
"Raleigh, NC ",2018,122481,1353279,0.090506836,9.050683562
"Richmond, VA ",2018,110504,1281174,0.086252141,8.625214061
"Riverside-San Bernardino-Ontario, CA ",2018,382296,4557852,0.083876352,8.387635228
"Sacramento--Roseville--Arden-Arcade, CA ",2018,112897,2327208,0.048511779,4.851177892
"St. Louis, MO-IL ",2018,182626,2769813,0.065934415,6.593441507
"Salt Lake City, UT ",2018,136159,1215530,0.112016158,11.20161576
"San Antonio-New Braunfels, TX ",2018,383887,2482269,0.154651651,15.46516514
"San Diego-Carlsbad, CA ",2018,272028,3239327,0.083976703,8.397670257
"San Francisco-Oakland-Hayward, CA ",2018,183206,4702993,0.038955193,3.8955193
"San Jose-Sunnyvale-Santa Clara, CA ",2018,83597,1988755,0.042034841,4.203484089
"Seattle-Tacoma-Bellevue, WA ",2018,219057,3894828,0.056243048,5.624304847
"Tampa-St. Petersburg-Clearwater, FL ",2018,378647,3112216,0.121664756,12.16647559
"Virginia Beach-Norfolk-Newport News, VA-NC ",2018,141461,1632902,0.086631653,8.663165334
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2018,464179,6176339,0.075154392,7.515439162
"Atlanta-Sandy Springs-Alpharetta, GA ",2019,767599,5969625,0.128584124,12.85841238
"Austin-Round Rock-Georgetown, TX ",2019,301305,2209919,0.136342101,13.63421012
"Baltimore-Columbia-Towson, MD ",2019,131948,2749627,0.0479876,4.798759977
"Birmingham-Hoover, AL ",2019,95173,1079159,0.088191823,8.819182345
"Boston-Cambridge-Newton, MA-NH ",2019,152505,4827034,0.031593935,3.159393532
"Charlotte-Concord-Gastonia, NC-SC ",2019,282623,2616014,0.108035737,10.80357368
"Chicago-Naperville-Elgin, IL-IN-WI ",2019,765254,9364932,0.081714849,8.171484854
"Cincinnati, OH-KY-IN ",2019,125786,2193546,0.05734368,5.734368005
"Cleveland-Elyria, OH ",2019,114646,2023908,0.056645855,5.664585544
"Columbus, OH ",2019,148572,2095816,0.070889811,7.088981094
"Dallas-Fort Worth-Arlington, TX ",2019,1306556,7521096,0.17371883,17.37188303
"Denver-Aurora-Lakewood, CO ",2019,226860,2939329,0.07718088,7.71808804
"Detroit-Warren-Dearborn, MI ",2019,238885,4289873,0.055685798,5.568579769
"Fresno, CA ",2019,82530,987054,0.083612447,8.361244674
"Houston-The Woodlands-Sugar Land, TX ",2019,1378137,7010291,0.196587702,19.65877023
"Indianapolis-Carmel-Anderson, IN ",2019,170501,2049926,0.083174222,8.31742219
"Jacksonville, FL ",2019,170140,1525454,0.111534009,11.15340089
"Kansas City, MO-KS ",2019,202545,2129210,0.095126831,9.512683108
"Las Vegas-Henderson-Paradise, NV ",2019,272755,2242008,0.121656569,12.16565686
"Los Angeles-Long Beach-Anaheim, CA ",2019,1223677,13122045,0.093253529,9.32535287
"Louisville/Jefferson County, KY-IN ",2019,74359,1249610,0.059505766,5.95057658
"Memphis, TN-MS-AR ",2019,149125,1327417,0.112342241,11.23422406
"Miami-Fort Lauderdale-Pompano Beach, FL ",2019,943192,6120582,0.154101685,15.41016851
"Milwaukee-Waukesha, WI ",2019,89894,1562736,0.057523472,5.752347165
"Minneapolis-St. Paul-Bloomington, MN-WI ",2019,163339,3612086,0.04522013,4.522013042
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2019,177783,1915245,0.0928252,9.282519991
"New York-Newark-Jersey City, NY-NJ-PA ",2019,1307543,19055829,0.068616432,6.861643227
"Oklahoma City, OK ",2019,169528,1386348,0.122283871,12.2283871
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2019,334647,6018780,0.055600471,5.560047053
"Phoenix-Mesa-Chandler, AZ ",2019,552758,4888681,0.113068944,11.30689444
"Pittsburgh, PA ",2019,90803,2292222,0.039613528,3.961352783
"Portland-Vancouver-Hillsboro, OR-WA ",2019,165811,2475479,0.06698138,6.698138017
"Raleigh-Cary, NC ",2019,128423,1380286,0.093040863,9.304086255
"Richmond, VA ",2019,99526,1268086,0.078485213,7.848521315
"Riverside-San Bernardino-Ontario, CA ",2019,406871,4581295,0.088811351,8.881135138
"Sacramento-Roseville-Folsom, CA ",2019,124028,2343496,0.052924349,5.292434892
"St. Louis, MO-IL ",2019,180591,2764610,0.065322414,6.532241437
"Salt Lake City, UT ",2019,126784,1224245,0.10356097,10.35609702
"San Antonio-New Braunfels, TX ",2019,404559,2509828,0.16118993,16.11899301
"San Diego-Chula Vista-Carlsbad, CA ",2019,259380,3233043,0.080227823,8.022782252
"San Francisco-Oakland-Berkeley, CA ",2019,204348,4706535,0.043417928,4.341792848
"San Jose-Sunnyvale-Santa Clara, CA ",2019,94594,1979861,0.047778102,4.777810159
"Seattle-Tacoma-Bellevue, WA ",2019,231852,3932600,0.058956416,5.89564156
"Tampa-St. Petersburg-Clearwater, FL ",2019,394337,3162076,0.124708261,12.47082613
"Virginia Beach-Norfolk-Newport News, VA-NC ",2019,121377,1660843,0.073081562,7.308156159
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2019,466837,6202734,0.075263102,7.526310172
"Atlanta-Sandy Springs-Alpharetta, GA ",2021,717722,6093696,0.117781064,11.77810642
"Austin-Round Rock-Georgetown, TX ",2021,299199,2334872,0.128143641,12.81436413
"Baltimore-Columbia-Towson, MD ",2021,136020,2788815,0.048773404,4.877340376
"Birmingham-Hoover, AL ",2021,90560,1101993,0.08217838,8.217838044
"Boston-Cambridge-Newton, MA-NH ",2021,127204,4854224,0.026204806,2.620480637
"Charlotte-Concord-Gastonia, NC-SC ",2021,277838,2680916,0.103635474,10.36354738
"Chicago-Naperville-Elgin, IL-IN-WI ",2021,711312,9418774,0.075520657,7.552065693
"Cincinnati, OH-KY-IN ",2021,125558,2232050,0.056252324,5.62523241
"Cleveland-Elyria, OH ",2021,104492,2052174,0.05091771,5.091770971
"Columbus, OH ",2021,160972,2126131,0.075711233,7.571123322
"Dallas-Fort Worth-Arlington, TX ",2021,1294439,7711090,0.167867189,16.78671887
"Denver-Aurora-Lakewood, CO ",2021,245687,2948714,0.083320051,8.332005071
"Detroit-Warren-Dearborn, MI ",2021,208773,4338642,0.048119435,4.811943461
"Houston-The Woodlands-Sugar Land, TX ",2021,1380278,7148322,0.19309119,19.30911898
"Indianapolis-Carmel-Anderson, IN ",2021,150685,2101092,0.071717469,7.171746882
"Jacksonville, FL ",2021,162663,1603794,0.101423874,10.14238736
"Kansas City, MO-KS ",2021,200672,2174437,0.092286877,9.228687702
"Las Vegas-Henderson-Paradise, NV ",2021,287105,2266590,0.126668255,12.6668255
"Los Angeles-Long Beach-Anaheim, CA ",2021,1091232,12906567,0.084548587,8.454858678
"Louisville/Jefferson County, KY-IN ",2021,71148,1268192,0.056101915,5.610191517
"Memphis, TN-MS-AR ",2021,148162,1319983,0.112245385,11.2245385
"Miami-Fort Lauderdale-Pompano Beach, FL ",2021,804399,6046873,0.133027269,13.30272688
"Milwaukee-Waukesha, WI ",2021,86523,1553992,0.055677893,5.567789281
"Minneapolis-St. Paul-Bloomington, MN-WI ",2021,154386,3663991,0.042136021,4.213602053
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2021,177497,1995280,0.088958442,8.895844192
"New York-Newark-Jersey City, NY-NJ-PA ",2021,1283183,19608877,0.065438883,6.54388826
"Oklahoma City, OK ",2021,169762,1417896,0.119728104,11.97281042
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2021,315391,6149929,0.051283681,5.128368149
"Phoenix-Mesa-Chandler, AZ ",2021,520604,4891955,0.106420439,10.64204393
"Pittsburgh, PA ",2021,85405,2328390,0.036679852,3.667985174
"Portland-Vancouver-Hillsboro, OR-WA ",2021,137903,2495107,0.055269373,5.526937322
"Raleigh-Cary, NC ",2021,123750,1439463,0.085969559,8.596955948
"Richmond, VA ",2021,80459,1295917,0.062086538,6.208653795
"Riverside-San Bernardino-Ontario, CA ",2021,391628,4589467,0.085331913,8.533191327
"Sacramento-Roseville-Folsom, CA ",2021,105386,2388666,0.044119186,4.411918619
"St. Louis, MO-IL ",2021,171215,2772644,0.061751527,6.17515267
"Salt Lake City, UT ",2021,121529,1254668,0.09686148,9.686148049
"San Antonio-New Braunfels, TX ",2021,400516,2551652,0.15696341,15.69634104
"San Diego-Chula Vista-Carlsbad, CA ",2021,212266,3170679,0.066946544,6.694654363
"San Francisco-Oakland-Berkeley, CA ",2021,180669,4600143,0.039274649,3.927464864
"San Jose-Sunnyvale-Santa Clara, CA ",2021,72782,1942751,0.03746337,3.746337024
"Seattle-Tacoma-Bellevue, WA ",2021,221590,3959010,0.055971063,5.597106347
"Tampa-St. Petersburg-Clearwater, FL ",2021,361544,3185878,0.113483316,11.34833161
"Virginia Beach-Norfolk-Newport News, VA-NC ",2021,105484,1697892,0.062126449,6.212644856
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2021,450517,6275300,0.071792106,7.179210556
"Atlanta-Sandy Springs-Alpharetta, GA ",2022,683422,6178028,0.110621383,11.06213827
"Austin-Round Rock-Georgetown, TX ",2022,258332,2402199,0.1075398,10.75398
"Baltimore-Columbia-Towson, MD ",2022,127802,2794383,0.04573532,4.573531975
"Birmingham-Hoover, AL ",2022,89965,1101726,0.081658234,8.165823444
"Boston-Cambridge-Newton, MA-NH ",2022,117719,4858636,0.024228816,2.422881648
"Charlotte-Concord-Gastonia, NC-SC ",2022,235232,2734588,0.086021002,8.602100207
"Chicago-Naperville-Elgin, IL-IN-WI ",2022,684046,9355096,0.073120148,7.312014756
"Cincinnati, OH-KY-IN ",2022,105348,2243539,0.046956171,4.695617059
"Cleveland-Elyria, OH ",2022,114819,2037929,0.056341021,5.634102071
"Columbus, OH ",2022,139010,2134027,0.065139757,6.51397569
"Dallas-Fort Worth-Arlington, TX ",2022,1247247,7889550,0.158088484,15.80884841
"Denver-Aurora-Lakewood, CO ",2022,205507,2961013,0.069404288,6.940428833
"Detroit-Warren-Dearborn, MI ",2022,185631,4319003,0.042980058,4.298005813
"Houston-The Woodlands-Sugar Land, TX ",2022,1309915,7283795,0.17983963,17.98396303
"Indianapolis-Carmel-Anderson, IN ",2022,137861,2113062,0.065242288,6.524228821
"Jacksonville, FL ",2022,138840,1640161,0.084650226,8.465022641
"Kansas City, MO-KS ",2022,178896,2185376,0.081860513,8.186051279
"Las Vegas-Henderson-Paradise, NV ",2022,269993,2297781,0.117501624,11.75016244
"Los Angeles-Long Beach-Anaheim, CA ",2022,987926,12794747,0.077213406,7.721340641
"Memphis, TN-MS-AR ",2022,124631,1313241,0.094903373,9.490337265
"Miami-Fort Lauderdale-Pompano Beach, FL ",2022,789256,6088493,0.129630764,12.96307641
"Milwaukee-Waukesha, WI ",2022,78523,1550527,0.050642781,5.064278145
"Minneapolis-St. Paul-Bloomington, MN-WI ",2022,161579,3664197,0.044096701,4.409670113
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2022,181998,2029951,0.089656351,8.965635131
"New York-Newark-Jersey City, NY-NJ-PA ",2022,1162078,19479953,0.059655072,5.965507206
"Oklahoma City, OK ",2022,158158,1436845,0.110073112,11.00731116
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2022,314618,6168808,0.051001425,5.100142523
"Phoenix-Mesa-Chandler, AZ ",2022,525855,4959630,0.106027063,10.60270625
"Pittsburgh, PA ",2022,85189,2325986,0.036624898,3.6624898
"Portland-Vancouver-Hillsboro, OR-WA ",2022,136454,2492945,0.054736065,5.473606518
"Raleigh-Cary, NC ",2022,119540,1474307,0.081082163,8.108216267
"Riverside-San Bernardino-Ontario, CA ",2022,355958,4606925,0.077265855,7.726585521
"Sacramento-Roseville-Folsom, CA ",2022,98627,2397437,0.041138516,4.113851584
"St. Louis, MO-IL ",2022,152745,2766129,0.055219767,5.521976741
"Salt Lake City, UT ",2022,119864,1259298,0.095183189,9.518318936
"San Antonio-New Braunfels, TX ",2022,391039,2605302,0.15009354,15.009354
"San Diego-Chula Vista-Carlsbad, CA ",2022,203442,3161147,0.06435702,6.435701978
"San Francisco-Oakland-Berkeley, CA ",2022,175372,4550597,0.03853824,3.853824015
"Seattle-Tacoma-Bellevue, WA ",2022,211515,3980345,0.053139866,5.313986602
"Tampa-St. Petersburg-Clearwater, FL ",2022,348049,3255447,0.106912814,10.69128141
"Virginia Beach-Norfolk-Newport News, VA-NC ",2022,107528,1700944,0.063216661,6.321666087
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2022,451871,6289805,0.071841814,7.184181386
