MSA,Year,Uninsured Population,Total Population,Percentage of Uninsured Population
"Pittsburgh, PA ",2021,85405,2328390,0.036679852
"Portland-South Portland, ME ",2021,,,0.045974612
"Portland-Vancouver-Hillsboro, OR-WA ",2021,137903,2495107,0.055269373
"Providence-Warwick, RI-MA ",2021,,,0.070619466
"Raleigh-Cary, NC ",2021,123750,1439463,0.085969559
"Richmond, VA ",2021,80459,1295917,0.062086538
"Riverside-San Bernardino-Ontario, CA ",2021,391628,4589467,0.085331913
"Sacramento-Roseville-Folsom, CA ",2021,105386,2388666,0.044119186
"St. Louis, MO-IL ",2021,171215,2772644,0.061751527
"Salt Lake City, UT ",2021,121529,1254668,0.09686148
"San Antonio-New Braunfels, TX ",2021,400516,2551652,0.15696341
"San Diego-Chula Vista-Carlsbad, CA ",2021,212266,3170679,0.066946544
"San Francisco-Oakland-Berkeley, CA ",2021,180669,4600143,0.039274649
"San Jose-Sunnyvale-Santa Clara, CA ",2021,72782,1942751,0.03746337
"Seattle-Tacoma-Bellevue, WA ",2021,221590,3959010,0.055971063
"Tampa-St. Petersburg-Clearwater, FL ",2021,361544,3185878,0.113483316
"Virginia Beach-Norfolk-Newport News, VA-NC ",2021,105484,1697892,0.062126449
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2021,450517,6275300,0.071792106
"Atlanta-Sandy Springs-Alpharetta, GA ",2022,683422,6178028,0.110621383
"Augusta-Richmond County, GA-SC ",2022,,,0.109080591
"Austin-Round Rock-Georgetown, TX ",2022,258332,2402199,0.1075398
"Baltimore-Columbia-Towson, MD ",2022,127802,2794383,0.04573532
"Birmingham-Hoover, AL ",2022,89965,1101726,0.081658234
"Boston-Cambridge-Newton, MA-NH ",2022,117719,4858636,0.024228816
"Buffalo-Cheektowaga, NY ",2022,,,0.055124909
"Charlotte-Concord-Gastonia, NC-SC ",2022,235232,2734588,0.086021002
"Charlottesville, VA ",2022,,,0.079570575
"Chicago-Naperville-Elgin, IL-IN-WI ",2022,684046,9355096,0.073120148
"Cincinnati, OH-KY-IN ",2022,105348,2243539,0.046956171
"Cleveland, TN ",2022,,,0.051648596
"Cleveland-Elyria, OH ",2022,114819,2037929,0.056341021
"Columbus, GA-AL ",2022,,,0.059273933
"Columbus, IN ",2022,,,0.062206845
"Columbus, OH ",2022,139010,2134027,0.065139757
"Dallas-Fort Worth-Arlington, TX ",2022,1247247,7889550,0.158088484
"Denver-Aurora-Lakewood, CO ",2022,205507,2961013,0.069404288
"Detroit-Warren-Dearborn, MI ",2022,185631,4319003,0.042980058
"Fresno, CA ",2022,,,0.111409844
"Houston-The Woodlands-Sugar Land, TX ",2022,1309915,7283795,0.17983963
"Indianapolis-Carmel-Anderson, IN ",2022,137861,2113062,0.065242288
"Jacksonville, FL ",2022,138840,1640161,0.084650226
"Jacksonville, NC ",2022,,,0.08325537
"Kansas City, MO-KS ",2022,178896,2185376,0.081860513
"Las Vegas-Henderson-Paradise, NV ",2022,269993,2297781,0.117501624
"Los Angeles-Long Beach-Anaheim, CA ",2022,987926,12794747,0.077213406
"Louisville/Jefferson County, KY-IN ",2022,,,0.08605839
"Memphis, TN-MS-AR ",2022,124631,1313241,0.094903373
"Miami-Fort Lauderdale-Pompano Beach, FL ",2022,789256,6088493,0.129630764
"Milwaukee-Waukesha, WI ",2022,78523,1550527,0.050642781
"Minneapolis-St. Paul-Bloomington, MN-WI ",2022,161579,3664197,0.044096701
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2022,181998,2029951,0.089656351
"New York-Newark-Jersey City, NY-NJ-PA ",2022,1162078,19479953,0.059655072
"Oklahoma City, OK ",2022,158158,1436845,0.110073112
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2022,314618,6168808,0.051001425
"Phoenix-Mesa-Chandler, AZ ",2022,525855,4959630,0.106027063
"Pittsburgh, PA ",2022,85189,2325986,0.036624898
"Portland-South Portland, ME ",2022,,,0.045680482
"Portland-Vancouver-Hillsboro, OR-WA ",2022,136454,2492945,0.054736065
"Providence-Warwick, RI-MA ",2022,,,0.067909114
"Raleigh-Cary, NC ",2022,119540,1474307,0.081082163
"Richmond, VA ",2022,,,0.079174009
"Riverside-San Bernardino-Ontario, CA ",2022,355958,4606925,0.077265855
"Sacramento-Roseville-Folsom, CA ",2022,98627,2397437,0.041138516
"St. Louis, MO-IL ",2022,152745,2766129,0.055219767
"Salt Lake City, UT ",2022,119864,1259298,0.095183189
"San Antonio-New Braunfels, TX ",2022,391039,2605302,0.15009354
"San Diego-Chula Vista-Carlsbad, CA ",2022,203442,3161147,0.06435702
"San Francisco-Oakland-Berkeley, CA ",2022,175372,4550597,0.03853824
"San Jose-Sunnyvale-Santa Clara, CA ",2022,,,0.045839053
"Seattle-Tacoma-Bellevue, WA ",2022,211515,3980345,0.053139866
"Tampa-St. Petersburg-Clearwater, FL ",2022,348049,3255447,0.106912814
"Virginia Beach-Norfolk-Newport News, VA-NC ",2022,107528,1700944,0.063216661
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2022,451871,6289805,0.071841814
